Utterance,politeness,language,__index_level_0__,split
"His first name seems to have been Bonadventure. From Chapter XII of Part II: To satisfy Captain Pencroff, it was first necessary to give the boat a name and after several proposals discussed at length, the voters agreed on that of Bonadventure which was the baptismal name of the honest sailor.",0.0,english,882,train
"The introduction assumes that all pistons are reciprocating, hence implying that all are continuously moving. This is clearly wrong (see the first query on this talk page). What about the piston used in a Pneumatic cylinder?",-0.33333333333333326,english,883,train
"I have added a section on the 1990s. I think it is fairly well sourced and NPOV. Most of the sources were FAS, and they are fairly anti-ABM.",1.333333333333333,english,884,train
"Only software designed for the GNU API runs under Windows Subsystem for Linux. That is, software designed for GNU/Linux in mind. This affects the ELF format too, because GNU software adds its own fields to an ELF binary.",0.33333333333333304,english,885,train
"Did you even read what I wrote above? The river flows through Inner Mongolia for a not really insignificant part of its course, and Mongolians have dwelled on its banks for centuries. Therefore, the name is entirely relevant per the guideline quoted above.",-2.0,english,886,train
"Y - I think in general, giving people names in article titles that they aren't commonly known by. If you're searching for Francisco Rodriguez, you're not going to know to look him up by his birth name. Dikembe Mutumbo has about seven names we don't use, but we shouldn't use them because nobody knows him as that.",-0.33333333333333326,english,887,train
"Hungarians, in an apparent reference to baptism, refer to the January 6 celebration as Vízkereszt or water cross. The word kereszt means cross, but here it is probably shortened from keresztelés which means baptism (of course it does come from the word for cross). So the translation is probably more correct as water baptism and so the meaning is more apparent.",0.6666666666666665,english,888,train
"I always imagined myself to be in the middle. This did help my comprehension, although not making me feel as comfortable as I would be with the idea of a sandwich. I regret that they did not teach me the theorem with the other name.",0.33333333333333304,english,889,train
"I have recently seen a Chinese Dr regarding why I am always so tired and rundown. Yes I do have a 21 month old son, however I new it was more than that as my fatigue goes back at least 7 years (I am now 33). He looked at me for only a few minutes and explained that my Vagus nerve on my left side was being jammed by extremely tight neck muscles.",-0.33333333333333326,english,890,train
"In both sections there are references to what I believe is an outdated race science term Caucasoid. A prior editor, Hunan201p had removed one such use of the word in October 2019 but it seems to have made its way back into the current version somewhere I can't pin down, nor find any reason why it was reverted. In the 20 year old sources cited for these claims the -oid racial terminology was used.",0.6666666666666665,english,891,train
"The following part of Career existed in Japanese Wikipedia, but it was removed on 12: 16 January 27, 2015 because there were no references, nor verifiable sources.",0.0,english,892,train
"I removed this from line 2 of the article: RPG is a transliteration of РПГ, the Russian abbreviation of Reaktivnyy/Ruchnoy Protivotankovyy Granatomyot (реактивный/ручной противотанковый гранатомёт), jet/hand-held anti-tank grenade launcher. RPG stands for Rocket-Propelled Grenade.",0.33333333333333304,english,893,train
"Culmo80 Wikipedia isn't about presenting 'evidence' it is about giving sourced information. It is not investigation reports, but a kind of user-edited encyclopedia. If you dont like sources find others and add them to article.",-0.6666666666666667,english,894,train
"I think that the last part of the definition in the lead ...or being threatened with imprisonment or death upon return is wrong. According to this definition, each criminal escaping from his/her country to avoid imprisonment or death should be considered an exiled person, while he/she is a fugitive trying to escape a sentence.",0.33333333333333304,english,895,train
You close the discussion after 9 days after one user has commented? And the IBC is wikipedia's external authority? I think we use references here and have no external authorities.,-1.0,english,896,train
"Would someone please correct the title of this page? Obviously, it was created by someone with a poor grasp of basic English punctuation.",-2.0,english,897,train
"Yellowcake is not raw uranium ore; it is processed uranium ore. It is not illegal to possess raw uranium ore, which, according to Wikipedia, is weakly radioactive and emits only alpha particles (helium nuclei) rather than the more serious gamma rays.",1.0,english,898,train
"Fair enough, I'll edit them today, try and reduce them into briefer synopses. And Deranged, from WP: NOT - Wikipedia is not....tutorials, walk-throughs, instruction manuals, video game guides, and recipes.",-0.6666666666666667,english,899,train
"I noticed the advice regarding treatment with topical antibiotics and antifungals comes from this source:  And that source no longer exists, probably since the Huffington Post merged with AOL.",0.33333333333333304,english,900,train
"I agree with you, the gossip was widely discussed. But Wikipedia policy requires not to spread gossip about living people. Avoid repeating gossip.",-0.6666666666666667,english,901,train
"Julius II was described by Machiavelli in his works as an ideal prince. - wasn't it Ceasare Borgia who was the model for the ideal prince?? Sources This article is in need of a cleanup, as it currently contains too much possible original research. Controversial claims, such as ...in order to discredit him, or maybe... need references, otherwise the sentences are unreliable.",-0.33333333333333326,english,902,train
"this is how I think it should read; in his case, it is much more than a simple stage name or nickname, being a contemporary American idol/icon. As such, use of the word famously would be appropriate.",0.6666666666666665,english,903,train
"O. Höfler writing in 1934, [considered] a connection to with an ecstatic Odin cult and to draw on recent customs from German-speaking areas. the syntax is somehow broken. First to with an ecstatic cult is not right, and he [considered] a connection and to draw on recent customs is not right either. What is the actual quote?",-0.6666666666666667,english,904,train
"Isn't the correct unit of torque really newton-metres per radian. In order for this formula: P = τω (where P is power, τ is torque, ω is the angular velocity) to work, the units of torque must be newton-metres per radian.",0.0,english,905,train
"In the first sentence 'In mathematics, a multivalued function (shortly: multifunction, other names: set-valued function, set-valued map, multi-valued map, multimap, correspondence, carrier) is a total relation' I do not get the connection between multivalued function and total relation.",0.0,english,906,train
"Support I see no problem in principle with a Southern Song article. The main article can stay as it is (no content needs to be removed from the Southern Song section), but the Southern Song article can deal with the topic in greater details. Creating a new article on Southern Song need not affect the main article or any of the other sub-articles.",0.0,english,907,train
Any additional comments: The above discussion is preserved as an archive of a requested move. Please do not modify it.,1.0,english,908,train
"I'll try to argue this case as well as I can. A source within the article, Fiske, p. 323, claims that coupled with Burgoyne's surrender at Saratoga, a Trenton-like defeat (Washington's plan) of Howe at Germantown would probably have been too much for Lord North's ministry, and would have maybe brought about a very early Yorktown and ended British operations on land in America.",0.6666666666666665,english,909,train
"After more investigation it seems clear that the four corners were roughly located at (22.33112, 114.18959), (22.33225, 114.18893), (22.33319, 114.19087), (22.33201, 114.19152) and so the center was at about (22.33214, 114.19023), where the remains of the yamen are still today. I have corrected the coordinates in the article accordingly even though the change is very small.",0.33333333333333304,english,910,train
"We're still left with the situation concerning Nixon/Ford. During the roughly 15 to 30 minutes (not sure of exact lapse of time, between Nixon's resignation & Ford's repeating the Presidential oath of office) was the Presidency vacant? And if it was, then the Presidency was vacant numerous times (for few minutes), throughout it's history.",-0.33333333333333326,english,911,train
There are numerous problems with the jade page. The main problem is it reflects a layman's view and lacks good technical references. I changed the mineral names and the hardness reference to nephrite and jadeite as well as a spelling error.,-0.33333333333333326,english,912,train
This article is a mixture of Pinyin and older romanizations. I propose to choose one and stick with it. Since Pinyin is being used in the Chen Taijiquan article I suggest we use that.,-0.6666666666666667,english,913,train
"I don't agree with it either. The only rationale for keeping this page at Ichiro (baseball player) is that this is the common name for him. While that is true, perhaps a comparison is helpful here.",0.0,english,914,train
"There seems to be some disagreement concerning the release date of Reina's second solo photobook. There have been edits claiming that it was released on October 16, 2005, but I haven't found any evidence supporting it. Most of the pages I've looked on say that the photobook was actually released on the 15th, for example, amazon.co.jp and Japanese Wikipedia article on Reina.",1.0,english,915,train
"An attempt to revive this discussion: basically, I agree with Kukkurovaca's points. What are primary influences as distinct from concepts like Mahayana, the Nikayas, Vajrayanic tantrism, etc.?",0.6666666666666665,english,916,train
"This article has quite a bit of POV problems, whether it's weasel words like many fans consider and opinons that aren't attributed to notable people. I would make edits, but I'm not sure where to find English language info about Zico. If anyone can source those statements or attribute opinions to experts or notable people, the article would improve a lot.",0.6666666666666665,english,917,train
"I`ve made a few changes on that section, but I think other changes are needed. First, there`s no sense in calling the section history if the subsequent sections are also about history. I would propose changing the title to Origins.",1.0,english,918,train
"YOu know, unlike the other references to the first game, this one is more....oh how do you put it...more attention grabbing? Only other thing more, uh, noteworthy(that was the word I was looking for) may be the Junior Troopa cameo in the Zip Toad email. I mean, if the fact that e-mail music is from older games is considered good trivia, I don't see why Bow and/or JT couldn't be mentioned.",-1.0,english,919,train
This article needs work. I'm a lay person who usually understands scientific topics pretty well. There is nothing in this article that helps me understand the phenomenon.,-1.3333333333333335,english,920,train
Someone (220.245.248.70) keeps changing the 240SX to a 300ZX in the speculated cars. To me the image clearly shows a 240SX but I will provide so pics to verify this. Here is a 300ZX and here is a 240SX and then here is the image in question 240 or 300?,0.0,english,921,train
"Ah, I think I understand now - it refers to the article. The problem is that the lead paragraph briefly mentions an area intended to sustain vehicular or foot traffic and walkways but the rest of the article seems to be all about roads for vehicular traffic. It would make more sense to remove those two mentions and create a seperate article on walkways.",0.6666666666666665,english,922,train
"The revert also restored the {{TOClimit|2}} template, which was removed to assure Controversies showed up on the contents page. Going through change by change: I prefer The Whopper is the signature hamburger to The Whopper is the signature hamburger product and The Whopper is a hamburger.",0.33333333333333304,english,923,train
"Not exactly sure what you are asking.... Check out Galaxy Angel Complete (which is in Japanese) for a timeline of the G.A. Project. The Broccoli website (Clicky) I think has an overall description of GA including sections on the game, manga, and anime.",0.6666666666666665,english,924,train
There isn't a dedicated page for the 'Don't Believe the Truth' tour in 2006. This is the only album tour Oasis did for which there is no information on Wikipedia. All the other tours they did have dedicated pages.,0.6666666666666665,english,925,train
"Studies suggested that the existing B-52 fleet with ALCM would remain a credible threat until 1985. It was predicted that 75% of the B-52 force would survive to attack its targets.[59] After this, the introduction of the SA-10 missile, the MiG-31 interceptor and the first Soviet Airborne Early Warning and Control (AWACS) systems would make the B-52 increasingly vulnerable.[60] Hmm.",0.6666666666666665,english,926,train
"I agree that we create a new section on athletics. Please remove the athletic controversies and place them there. (unsigned comment) I guess in the move, none of the controversies survived. The whitewashing of CU is complete (or has been for almost a year now).",-0.33333333333333326,english,927,train
"We improved on the lead by adding more relevant information such as common side effects, precautions, and uses of the drug. We then added the mechanism of action section. We improved upon the medical uses category by adding more citations on uses that have been approved.",1.333333333333333,english,928,train
"I tried using this article (and some other sources) to create a hopfield net, but I found, in addition to the lack of notes on how to train the network, it is very unclear how the network ought to be initialized. Perhaps psuedocode describing the algorithms involved would be helpful?",1.0,english,929,train
"SUBTEL clarified that media outlets such as Quartz and Tech President, used as sources for the mentioned section, misinterpreted Circular 40. Such order never identified specific services, and no reference to Facebook Zero, Google Free Zone, or Wikipedia Zero was made. More detailed information can be found in WMF's blog entry about it.",1.0,english,930,train
"The planet around 61 Cygni B was first reported in the 1890s by the American astronomer Thomas J. J. See (1867-1960), then at the Leander McCormack Observatory. See specialized in studying binary stars to determine their orbits, and it was the gravitational effect of this planet on the motion of 61 Cyg B that led him to submit an article claiming a third object in the 61 Cyg system.",0.0,english,931,train
Addressing these in order: This is not about you. The fact that you are adding academic references at one place does not mean you are free to put whatever you want somewhere else.,-1.0,english,932,train
"In general, a brake is for retarding and stopping motion. This article refers to specific type of brake, which is a Wheel Brake. A brake can stop linear motion (as in a meglev vehicle) as well as circular motion.",0.0,english,933,train
"Additionally in the Augustine section it said that Augustine never mentioned Pelagius by name and he wrote for the common people it then cited a source which contradicts the first statement explicitly stating that Augustine wrote about the life of Pelagius. I changed this last sentence, and replaced it with one that better reflects the source.",0.0,english,934,train
There is a move discussion in progress on Talk: Gang of Four (disambiguation) which affects this page. Please participate on that page and not in this talk page section.,-0.6666666666666667,english,935,train
"To whom this may concern, There is an issue on Jaeden Martell’s (formerly Jaeden Lieberher) wikipedia page (linked below).  Jaeden recently changed his last name from Lieberher to Martell due to personal reasons. Evidence of the change can be found on his personal Instagram and Twitter page.",1.333333333333333,english,936,train
"Cancellation of The West Wing I don't see a need for such a large section on the cancellation fo the show in this articlel. Too much of the text dealt exclusively with the show, and not about Allison Janney. I've integrated mention fo the cancellation into the On The West Wing section.",-0.6666666666666667,english,937,train
I tend to err on the side of caution when it comes to links on ccTLDs. There have been a few cases in the past where blatently commercial links have been added. The pricelist link on the esreg.com page is problematic but it is not overtly commercial.,0.33333333333333304,english,938,train
I have removed the sentence: Caramel was invented in Turin sometime before the 18th century. because it is unsupported by any evidence I can find. The word caramel is attested in English already in 1715 (OED).,0.6666666666666665,english,939,train
"I might have missed some mention of it, but how can this article not be factually disputed by creationists? Normally they swarm over these kinds of topics. Not that I want it to be... it's just a little odd.",-0.6666666666666667,english,940,train
"Altobelli scored 4 goals. 1 vs Bulgaria, 1 vs Argentina, 2 vs South Korea.—The preceding unsigned comment was added by 143.205.128.247 (talk • contribs). Your're right, my mistake.",1.333333333333333,english,941,train
I am struggling to reconcile the everybody knows that 10-pitch pica font is 12-point against the apparent mathematics that seems to say otherwise. Would some kind soul have a look at Talk: Pitch (typewriter)#Equivalent point sizes and tell me what I am missing.,1.6666666666666665,english,942,train
The below paragraph doesn't make sense to me... The first sentence is particularly confusing. Can someone please shed some light on this or consider rephrasing it?,1.0,english,943,train
The KT dinosaur extinction is controversial and is missrepresented in that context. The upper Maastrichtian extinction marks the end of the non avian dinosaurs. Only reworked Cretaceous specimens have been found in the lower Maastrichtian.,-0.33333333333333326,english,944,train
"Someone reverted my edit. The thing is that liberalism is not an ideology, it is an umbrella adjective used to qualify a set of ideologies, or part of some of those. There no consistant definition of liberalism.",-0.6666666666666667,english,945,train
I recently added a new section to the liquid crystal wiki on topological defects and it was recently removed by Materialscientist with an explanation in the edit summary that didn't make much sense to me. I was hoping that Materialscientist could provide a better explanation for why it shouldn't be included below and for others to talk about whether it should be included or not.,1.0,english,946,train
"To give a little extra jab at this topic; I find there to be a certain degree of absurdity to having redirects that can work to guide people from technically incorrect terms (like Tai Chi), to accurate information (and thus educate them, seemingly part of the point/intent of WP), instead follow the policy of directing to the common, (and even) incorrect term.",-0.33333333333333326,english,947,train
"Weak support See this Ngram. The proposed form always seems to have been more prevalent. Further evidence could change my mind, however, and my primary concern is consistency.",-1.0,english,948,train
"Actually, naming guidelines allow this, if it's the common spelling in English sources. In this particular case, it's a bit difficult to determine, which is more common. If we exclude Norvegian websites Tromso appears to be more common than Tromsø, but not by a very large margin, and the frequency is about the same if we count Norvegian websites.",0.6666666666666665,english,949,train
"Please make UK-history-stub synonymous with the UK-hist-stub. hist is not intuitive. Other history stubs accept something-history-stubs. I don't think they use -hist-stub, but I don't know, because -history-stub has always worked.",0.0,english,950,train
"How is reporting the account as is, OR? This article is first and foremost about Plutarch's account, any interpretations by modern historians are secondary. This is not Sacred Band of Thebes according to David Leitao is it?",0.6666666666666665,english,951,train
Just a couple of short comments. The meaning of POV seems to have changed in Wikipedia over time: it doesn't literally mean point of view but a certain bias.,0.33333333333333304,english,952,train
"Can someone familiar with Japanese expound on the phrase a face that goes well with makeup? Is that a backhanded compliment like You have a great face for radio? Right now the passage is a little enigmatic, and since this point was referenced in today's Did You Know?, it would be nice if it was phrased more clearly.",-0.6666666666666667,english,953,train
Yomiuri Shimbun loves to create doubt in issues over comfort women and Japanese military's Nanking massacre. Shimbun wrote a 7-part series on an inevtiable war with North Korea. I am fluent in Japanese and I've read the Yomiuri Shimbun for years I guess the translators are doing a lousy job.,-0.6666666666666667,english,954,train
"I gave itemized edit summaries for each thing I deleted. But all was reinserted as a mass, in gross violation of MEDRS, RS, and BURDEN. Using MEDRS and BURDEN, I am undoing the reverts.",-0.6666666666666667,english,955,train
"The ref CDC_2008 is no longer in use, but is still part of the reflist. It should be commented out, or deleted.",0.33333333333333304,english,956,train
"You have sources for the US definition, but not for the British usage. I assume these are coming? Also, from the use by Canadian writers on WP, floatplane seems to be standard Canadian usage also.",-1.6666666666666667,english,957,train
"Can someone who knows how add place names to the map of the line? I would do this myself but I don't know how. Although I've now worked out where the main cities are, it's quite difficult for people like me that don't have a good grasp of Dutch geography to see where the line is in relation to the main places.",0.33333333333333304,english,958,train
"as a scientist who has to use Molar concentrations all day long, I think the intro is impossibly confused and complex. It should be something simple like, molar mass is the mass (weight) of one mole of a substance; a mole is 6.02 X 10^23, so the molar mass is the weight of 6.02X10^23 copies of a subtance.",-0.33333333333333326,english,959,train
"It wasl long before the value of Bering's work was fully recognized; but Captain Cook was able to prove his accuracy as an observer. Nowadays, the Bering Strait, the Bering Sea, Bering Island and the Bering Land Bridge bear the Russian explorer's name.",0.0,english,960,train
"I think the main page photo is too old and too bad, there're lots of good photos of Johnny Knoxville in Google Images. I don't have a Wikipedia account so i can't do anything. Please, try to change it.",0.6666666666666665,english,961,train
Here's a link that discusses the flux-growth method for synthetic gemstones (from ; it appears to be course notes for a chemistry course). Googling for flux growth gives about 10 million links to papers and pages discussing use of the technique.,0.0,english,962,train
Ooishi and Esperanto? The article says that Ooishi's work on the Jet Stream went largely unnoticed outside of Japan as he chose to write in the international language of Esperanto which was little read in scientific circles. And Japanese *was* widely read in scientific circles in the 1920s???,-0.33333333333333326,english,963,train
"I would like to delete the generalization Southern women were expected to be delicate, docile and accommodating; Zelda was anything but.",0.0,english,964,train
"Yes it is, but that news only came up today and I still do not agree with the reasoning behind the reverts of my edits yesterday. I must admit that they were not so NPOV because I was having a good time with it (I'm still smiling about it : -), but that should have been dealt with by editing, not reverting.",-0.6666666666666667,english,965,train
The article says Russia was the last country in Europe to abolish absolutism. The Nikolas II of Russia abdicted in 1917. The Emperor (Kaiser) of Germany Wilhelm the II abdicted in 1918.,0.6666666666666665,english,966,train
Nice work on the article. What I find lacking is information on the actual algorithm (is there any published study or patent app out there?) And the stream structure may not be accessible to non-techy users.,2.0,english,967,train
"I was a bit dismayed to come across this page and see Latour described as a social constructionist in the first paragraph; I believe this is misleading, and it ignores the pains Latour has taken to distinguish his form of constructionism from a social constructionism. Tonight I only had time to make a change to the first paragraph, but I believe many more changes are needed.",-0.6666666666666667,english,968,train
"Hello, Can't recall the source right now. However, I have read that Goering was impatient with the requirement of 20 aerial victories as the minimum requirement for the Blue Max in WWI. That's why he had Bruno Loerzer lobby for him to receive it at 18 victories.",0.33333333333333304,english,969,train
"I don't see why one article can't address what are basically regional differences in the exact same object. Scholarly articles are written from national points of view too, but really, other than the significance in the two cultures, the information in these two articles is the same, in some cases word for word.",-0.33333333333333326,english,970,train
"at one point holding a position in the office of Louis Sullivan (according to Robert Hughes's Shock of the New) Here is why. The citation for including it is Robert Hughes and here is what Hughes has to say. The architect who launched the attack on decorated architecture was Adolf Loos (1870-1933), a Czech who lived in Vienna.",0.6666666666666665,english,971,train
"could you lead me in the right direction in trying to clarify how the two are distinct? Because at the moment, both are unsourced, and seem to describe essentially the same thing.",0.6666666666666665,english,972,train
In that case improve the article first before making a major split. For example why haven’t you suggested a “History of Ownership” section which would be separate from the actual studio production history? Or moving the Television and Cartoons section further down the page?,-1.3333333333333335,english,973,train
"jamesington If you look at my previous edits here, I think you’ll see that I understand photography, and DOF in particular, quite well. I agree that the photo of the boy is unlikely to win Photo of the Year.",-1.0,english,974,train
I've added slightly to the introduction and rewritten the Characteristics section (and renamed it). My aim was to broaden the definition of a gay bar and to point out that the variations pretty much mirror the variations of straight bars. I've also tried to soften the emphasis on music and beef up the information about sex on the premises venues.,-0.33333333333333326,english,975,train
"i was wondering if someone could give some sort of verification that gen is chun-li's teacher. i say this because her dialog between gen in street fighter two makes it sound like she has never met him before. Chun Li's father's name is Dorian. I can't remember where you could find this info, but I just remember it from many, many years ago.",0.33333333333333304,english,976,train
"The article had a broken link for away team under the heading The Cage and the first season. The only Wikipedia link I could find was to  I added this as shown below, but as it's to a game I don't know if the link is appropriate or if it should be removed.",1.0,english,977,train
"JustSomeWikiReader What exactly is the discrepancy? It seems like one refers to orbital elements within Alpha Centauri, the other refers to distance and proper motion. Either I'm looking at the wrong sections or the disagreement isn't obvious - please quote the pieces you think disagree.",-1.3333333333333335,english,978,train
"The link to interlog.com remains broken, but an archived version is still available (minus the odd picture). I'm rather confused by some of the Applications listed here. I thought kimonos were made out of silk, for example.",-0.6666666666666667,english,979,train
"No, you do not seriously need to explain this. Some facts are intrinsic: 3 + 7 = 10 is an intrinsic fact that no-one seriously disputes.",-1.3333333333333335,english,980,train
"I added a note right above the plot summary that identifies the three main characters of the film before the reader begins reading the summary. This is a new approach because one unspoken issue is that on Wikipedia, the cast list comes after the plot summary. I would normally advocate for a cast list right next to the plot summary, but unfortunately the film infobox gets in the way of that.",1.333333333333333,english,981,train
"Hello fellow Wikipedians, I have just added archive links to on All Nippon Airways. Please take a moment to review my edit. If necessary, add after the link to keep me from modifying it.",1.6666666666666665,english,982,train
"Those are probably using the old credits from the first film. The recently released official full trailer takes precedence. Universal, the primary source, presented the credits in the sequel's official full trailer without any mention of Focus.",0.33333333333333304,english,983,train
I would write something like this here: The history of the metric system is a bit more than 200 years.,1.333333333333333,english,984,train
"And as I suspected, neither are even close to being encyclopedic. One is quoted from The Nation, and the other is also highly editorial in style. Neither is close to NPOV.",-1.0,english,985,train
"If you want this to be a genuine article about this game, then the tracks should be listed. Not having it, is a farce and insulting to the reader.",-1.3333333333333335,english,986,train
"There are many strange phrases on the page Dirk. I'm still at about the year 1540 with my gradual rework of the article and can only work chronologically so I may reach that phrase in about 6 months! As for the above, by bollocks I mean that the sentence is meaningless within the article and has no context, it is also an uncited opinion.",-2.0,english,987,train
"The article current uses , which was by Ko2007 in early 2008. The problem with this infobox is that it really does not suit browser-based games like Travian. Parameters that are very important for an article about a browser-based game, like website, are absent from the template.",0.0,english,988,train
"This subject seems to have attracted some questionable attention. As far as the web comment is concerned, we cannot take it seriously as long as no picture has been presented. For one thing, there are plenty of orb weavers that are not crab spiders, but look superficially rather like some spp.",0.33333333333333304,english,989,train
"(resetting tab) I'm currently reading this book and see arguments for and against including this critique. For the record, Sokal and Bricmont criticize only the use of scientific concepts among 'postmodern' writers and find clear errors in Kristevia's use of mathematical theory (clear to anyone that has taken some level of post-Trig maths...I'd be glad to detail a few).",-0.33333333333333326,english,990,train
"Thanks, Nunh-huh, for adding all those yucky vasculitides. Frankly, I hadn't taken the time to properly expand on that list. I'm on the lookout for a good review article on Wegener's granulomatosis before I have a go at that disease..",0.6666666666666665,english,991,train
"As it states when editing the article, Wikipedia is not a search engine nor is it a website directory service. Please do not list sites that are not of significant value to this article on the game/sport of kickball. Just because you have an adult kickball league does not mean you can add links to your website in this article so you get more internet traffic.",-0.33333333333333326,english,992,train
"Thus, his overall record of goals scored in League and Cup matches adds up to 509 (HSV 507, Cork Celtic 2). So far, this record has never been topped by a German player.",0.0,english,993,train
"After watching some of the subbed 5d's episodes, it has been clearly stated that Rally Dawson is a female. I mean, the voice gives it away, as well as her attire, and MULTIPLE subbers have translated the japanease speech to indicate that she is indeed FEMALE! Why have I been charged for incorrect information?",-1.3333333333333335,english,994,train
"Might I ask when you anticipate having sources (based on your response I might theorize within a week)? IMO it would have been better to gather your information with sources before adding to the article, but I suppose we've already crossed that bridge. Of course, even if we remove it from the article at this time it would still be available to you historically.",0.0,english,995,train
"Lead vocals redirects to this page, but doesn't appear on it. Can someone please add the info? Also, is lead vocal a valid singular form?",0.33333333333333304,english,996,train
"Regarding the sentence: This theory is contradicted by the fact that Robert Rayford died in St. Louis, Missouri of complications from AIDS in 1969, and most likely became infected in the 1950s. Robert Rayford was 16 when he died.",0.33333333333333304,english,997,train
Survey - Oppose votes Oppose. The spelling with i is the Russian name using Wikipedia: Romanization of Russian.,-0.33333333333333326,english,998,train
"Females defend home ranges of 9.5 to 19.8 square miles (25 to 51 km2), depending on local prey availability, while males defend larger territories of 11.6 to 31.5 square kilometres (4.5 to 12.2 sq mi). It says males defend larger areas. We'll use miles for this one.",-0.6666666666666667,english,999,train
"History of Portugal (1777-1834) is now being peer reviewed. Please, if you want, go there and state your opinion.",-0.33333333333333326,english,1000,train
"I speak Serbian language and I can tell everyone that in first paragraph of this section among English words are inserted some Serbian ones. Exactly, phrases al za malo and naravno da jeste meaning almost and of course he is. If we now put this translations back in context of this paragraph we can suppose that someone making jokes with us.",1.333333333333333,english,1001,train
Andrew Keith Paul Morton (born 1959 in England) is an Australian software engineer. How could be someone born in England be Australian?.,-0.33333333333333326,english,1002,train
"I see the plain cross has been removed. I must say, this whole issue seems pretty significant and yet completely confusing. What was the national flag (main flag) of the Kingdom?",-0.6666666666666667,english,1003,train
"I removed the following sentence. Because of the number of priceless cultural heritages in Kyoto, the city was not bombed during World War II. This is nothing more than an urban legend.",-0.33333333333333326,english,1004,train
Average eggbeater height? What does height in this sentence mean? An average eggbeater height is usually around collarbone level.,-0.33333333333333326,english,1005,train
"OK, I'm beginning the work on this. I am doing this by creating a series of sub-articles which describe various aspects of AES' algorithm in more detail. I have already written articles on the Rijndael Galois field and Rijndael S-box.",0.0,english,1006,train
"I just wanted to show a close-up of what was written about in the article, to make it more interesting to the readers. That's the point of a close-up, to show an item in question up close in more detail. Maybe it's just me, but such detailed pictures are what I like to see in articles, especially together with the story it has.",-0.33333333333333326,english,1007,train
"I have just changed the Colombo article and the look and feel of it, the article really needed some attention, it was in pathetic condition. My aim is to make it to the featured article list, so have carefully followed the guidelines of wikipedia and inculded only the required sections and there are some sections of the article that I am still working on.",-2.0,english,1008,train
"I have changed the title of the Conflation to other deities section to Conflation to other religious figures. This is due to the fact that, in Buddhism, no deities are relevant (it cannot be said that they do not exist, since any buddhist can believe in the existence of a deity, as long as that person understands that the deity will not save or enlighten anyone.",1.6666666666666665,english,1009,train
Ynizcw I never insinuate. I make every effort to be as clear as possible. You used a WP reference to suit your interpretation.,-1.0,english,1010,train
There seems to be a lot of confusion over the two. Please take note that they are different; Johnny & Associates (aka Johnny's Jimusho) is a talent agency whilst Johnny's Entertainment is a record label.,-0.33333333333333326,english,1011,train
"Yes, I agree that that section was very opaque. I have rewritten it and merged it with the closely related Insulin#Signal_transduction section. The pathway is very complex, but I hope the section now make a little more sense.",1.6666666666666665,english,1012,train
"This is not Swedish cuisine but immigrant fast food, quite like McDonalds and the like. Not a major (not mayor LOL) part of Swedish restaurants specializes in foreign fast food but foreign fast food stands do. Nothing Swedish there.",-0.6666666666666667,english,1013,train
"The FACT is that Homie was a unique entity seperate from Weezer and Rivers Cuomo. There should be no debate about whether Homie gets its own entry, although it makes sense to mention Homie in the Rivers Cuomo entry and/or the Weezer entry. These are supposed to be encyclopedia entries, not articles or CD reviews.",-1.3333333333333335,english,1014,train
"This has always amused me too. The problem with the flatulence comparison is that flatulence is also highly variable. Personally, if someone wants to know what H2S smells like, I tell them to come and give me a hand checking/ calibrating the H2S detectors in our gas package, and give them a sniff of the 5ppm calibration gas mix.",-1.0,english,1015,train
"It may be quite bizarre and tangential, but on page 138 of one of Roche's [www.roche.com/rochea_z.pdf self-publicity pamphlet] there is a late 19th century ad for Sirolin antiseptic, whose active ingredient is guaiacol, or more specifically a saint card provided by Roche syrup. Given its age, it cannot be copyrighted and I found it quite intriguing.",0.0,english,1016,train
"Splitting the article, might be the way to proceed, although I'm not sure that (video games) is the best additional tag. The more I look at it, the more it seems that the real problem is the Dungeon and Dragons material. Would I be right in thinking that the discussion about tanar'ri demons and the like isn't actually based on anything in the real world and is purely game mechanics.",1.333333333333333,english,1017,train
"You said above that you made nice arrangement. Now you say that someone else made it? Neverthelesss, that kind of style should not be used on Eurovision articles.",0.0,english,1018,train
"Hello fellow Wikipedians, I have just added archive links to on Tactic (method). Please take a moment to review my edit. If necessary, add after the link to keep me from modifying it.",1.0,english,1019,train
Propagation is not a necessary feature of an action potential and should be relegated to a later section. Otherwise the definition is simply incorrect because it would not apply to the phenomenon that was described by Hodgkin and Huxley. Action potentials can be and are produced without propagation in many experimental preparations.,-0.6666666666666667,english,1020,train
"Common content are ones licensed in the Creative Commons. They are called open content only if they are licensed as share-alike (one of the CC's options). Okay, first of all, I've extensively studied this subject and have never ever heard of that.",0.0,english,1021,train
"Hello fellow Wikipedians, I have just added archive links to on Okaya, Nagano. Please take a moment to review my edit. If necessary, add after the link to keep me from modifying it.",1.6666666666666665,english,1022,train
"I apologize for the poor phrasing of my edit, but I do have some concerns with the accuracy of the current sexual reproduction section. It says that all species have two different adult sexes. But earthworms, for example, are all hermaphroditic.",0.6666666666666665,english,1023,train
"When I look up in dictionary Polish ziemniaki tłuczone it tells mashed potatoes. But the ones on picture in this article are very heavily mashed, and are normally called potato puree. How do you call potatoes that are only very lightly mashed?",1.0,english,1024,train
